Territory	Date	t	N	∆S(t)	∆C(t)	∆I(t)	∆R(t)	∆D(t)
['SP, SP, *']	2021-04-19	419	46289333	-28987	28987	-873	28309	1551
['SP, SP, *']	2021-04-20	420	46289333	-29177	29177	-1230	28901	1506
['SP, SP, *']	2021-04-21	421	46289333	-28701	28701	-1448	28677	1472
['SP, SP, *']	2021-04-22	422	46289333	-25615	25615	-3318	27712	1221
['SP, SP, *']	2021-04-23	423	46289333	-25567	25567	-4427	28752	1242
['SP, SP, *']	2021-04-24	424	46289333	-22821	22821	-9580	31254	1147
['SP, SP, *']	2021-04-25	425	46289333	-25173	25173	-7530	31462	1241
['SP, SP, *']	2021-04-26	426	46289333	-25124	25124	-7765	31669	1220
['SP, SP, *']	2021-04-27	427	46289333	-24819	24819	-7092	30713	1198
['SP, SP, *']	2021-04-28	428	46289333	-24787	24787	-6637	30273	1151
['SP, SP, *']	2021-04-29	429	46289333	-26974	26974	-4138	29763	1349
['SP, SP, *']	2021-04-30	430	46289333	-26328	26328	-4007	29044	1291
['SP, SP, *']	2021-05-01	431	46289333	-26051	26051	-3979	28757	1273
['SP, SP, *']	2021-05-02	432	46289333	-25442	25442	-4090	28285	1247
['SP, SP, *']	2021-05-03	433	46289333	-25224	25224	-3994	27968	1250
['SP, SP, *']	2021-05-04	434	46289333	-24501	24501	-4975	28282	1194
['SP, SP, *']	2021-05-05	435	46289333	-23706	23706	-5353	27901	1158
['SP, SP, *']	2021-05-06	436	46289333	-23292	23292	-3059	25244	1107
['SP, SP, *']	2021-05-07	437	46289333	-22992	22992	-3518	25425	1085
['SP, SP, *']	2021-05-08	438	46289333	-24687	24687	-11	23531	1167
['SP, SP, *']	2021-05-09	439	46289333	-22771	22771	-3890	25592	1069
['SP, SP, *']	2021-05-10	440	46289333	-22781	22781	-3873	25602	1052
['SP, SP, *']	2021-05-11	441	46289333	-23025	23025	-3212	25197	1040
['SP, SP, *']	2021-05-12	442	46289333	-23437	23437	-2705	25100	1042
['SP, SP, *']	2021-05-13	443	46289333	-24060	24060	-3852	26904	1008
['SP, SP, *']	2021-05-14	444	46289333	-24463	24463	-2749	26211	1001
['SP, SP, *']	2021-05-15	445	46289333	-25145	25145	-1701	25890	956
['SP, SP, *']	2021-05-16	446	46289333	-24571	24571	-1677	25303	945
['SP, SP, *']	2021-05-17	447	46289333	-25884	25884	-130	25031	983
['SP, SP, *']	2021-05-18	448	46289333	-25730	25730	254	24492	984
['SP, SP, *']	2021-05-19	449	46289333	-26049	26049	1307	23743	999
['SP, SP, *']	2021-05-20	450	46289333	-26703	26703	2808	22894	1001
['SP, SP, *']	2021-05-21	451	46289333	-26873	26873	3172	22694	1007
['SP, SP, *']	2021-05-22	452	46289333	-27230	27230	2393	23836	1001
['SP, SP, *']	2021-05-23	453	46289333	-28297	28297	4669	22626	1002
['SP, SP, *']	2021-05-24	454	46289333	-27395	27395	3756	22673	966
['SP, SP, *']	2021-05-25	455	46289333	-27880	27880	4149	22740	991
['SP, SP, *']	2021-05-26	456	46289333	-27847	27847	3826	23053	968
['SP, SP, *']	2021-05-27	457	46289333	-26374	26374	1584	23815	975
['SP, SP, *']	2021-05-28	458	46289333	-22109	22109	-2878	23977	1010
['SP, SP, *']	2021-05-29	459	46289333	-19278	19278	-6229	24552	955
['SP, SP, *']	2021-05-30	460	46289333	-22236	22236	-2695	23877	1054
['SP, SP, *']	2021-05-31	461	46289333	-21788	21788	-4159	24901	1046
